reuniao_id,cliente_id,cs_responsavel,data,duracao_min,nps_interno,canal,status_call
R001,L001,Ana CS,2025-06-03,42,8,Google Meet,ok
R002,L002,Ana CS,03/06/2025,n/a,dez,meet,OK
R003,L003,Paulo CS,2025/06/10,38,3,Google Meet,risco
R004,L005,Ana CS,2025-06-12,, ,Google Meet,indefinido
R005,L001,Ana CS,2025-06-17,35,9,Google Meet,ok
R006,L006,Paulo CS,18-06-2025,50,2,Meet,RISCO
R007,L007,Ana CS,2025-06-20,28,7,google meet,ok
R008,L008,Paulo CS,2025-06-22,44,4,Google Meet,risco
R001,L001,Ana CS,2025-06-03,42,8,Google Meet,ok
R009,L002,Ana CS,2025-07-01,30,6,Google Meet,ok
R010,L003,Paulo CS,2025-07-08,55,1,Google Meet,risco
