ano_mes,editoria,usuarios,sessoes,pageviews,tempo_medio_seg,taxa_rejeicao_pct,assinaturas_atribuidas
2026-01, Política ,51040,62268,92.156,179,"60,5",30
2026-01, Economia ,41690,49194,74.774,196,56.9,27
2026-01, Tecnologia ,36657,46554,72.624,222,"52,0",30
2026-01,ESPORTES,46858,53886,86.217,148,63.8,19
2026-01, Cultura ,25428,28225,46.289,204,"55,7",17
02/2026, Política ,55.680,67929,100534,182,"59,8",34
02/2026, Economia ,45.480,53666,81572,199,56.2,30
02/2026,TECNOLOGIA,39.989,50786,79226,225,"51,3",33
02/2026, Esportes ,51.118,58785,94056,151,63.1,22
02/2026, Cultura ,27.740,30791,50497,207,"55,0",19
2026/03, Política ,60320,73590,108.913,185,"59,1",38
2026/03,ECONOMIA,49271,58139,88.371,202,55.5,34
2026/03, Tecnologia ,43322,55018,85.828,228,"50,6",37
2026/03, Esportes ,55377,63683,101.892,154,62.4,24
2026/03, Cultura ,30051,33356,54.703,210,"54,3",21
2026-04,POLÍTICA,63.800,77836,115197,188,"58,4",41
2026-04, Economia ,52.113,61493,93469,205,54.9,36
2026-04, Tecnologia ,45.821,58192,90779,231,"49,9",40
2026-04, Esportes ,58.572,67357,107771,157,61.8,26
2026-04,CULTURA,31.785,35281,57860,213,"53,6",23
05/2026, Política ,59740,72882,107.865,191,"57,7",40
05/2026, Economia ,48797,57580,87.521,208,54.1,35
05/2026, Tecnologia ,42905,54489,85.002,234,"49,2",38
05/2026,ESPORTES,54845,63071,100.913,160,61.0,26
05/2026, Cultura ,29762,33035,54.177,216,"52,9",23
2026/06, Política ,67.280,82081,121479,194,"57,0",45
2026/06, Economia ,54.956,64848,98568,211,53.4,40
2026/06,TECNOLOGIA,48.320,61366,95730,237,"48,5",43
2026/06, Esportes ,61.767,71032,113651,163,60.3,29
2026/06, Cultura ,33.519,37206,61017,219,"52,2",26
02/2026,TECNOLOGIA,39.989,50786,79226,225,"51,3",33
2026-06,TESTE,100,120,-50,0,n/a,0
