kpi,ano_mes,realizado,meta,diferenca,direcao,status
usuarios_mensais,2026-01,201673.00,260000.00,-58327.00,maior_melhor,nao_atingida
usuarios_mensais,2026-02,220007.00,260000.00,-39993.00,maior_melhor,nao_atingida
usuarios_mensais,2026-03,238341.00,260000.00,-21659.00,maior_melhor,nao_atingida
usuarios_mensais,2026-04,252091.00,260000.00,-7909.00,maior_melhor,nao_atingida
usuarios_mensais,2026-05,236049.00,260000.00,-23951.00,maior_melhor,nao_atingida
usuarios_mensais,2026-06,265842.00,260000.00,5842.00,maior_melhor,atingida
tempo_medio_seg,2026-01,186.80,190.00,-3.20,maior_melhor,nao_atingida
tempo_medio_seg,2026-02,189.80,190.00,-0.20,maior_melhor,nao_atingida
tempo_medio_seg,2026-03,192.80,190.00,2.80,maior_melhor,atingida
tempo_medio_seg,2026-04,195.80,190.00,5.80,maior_melhor,atingida
tempo_medio_seg,2026-05,198.80,190.00,8.80,maior_melhor,atingida
tempo_medio_seg,2026-06,201.80,190.00,11.80,maior_melhor,atingida
taxa_rejeicao_pct,2026-01,58.29,55.00,3.29,menor_melhor,nao_atingida
taxa_rejeicao_pct,2026-02,57.59,55.00,2.59,menor_melhor,nao_atingida
taxa_rejeicao_pct,2026-03,56.89,55.00,1.89,menor_melhor,nao_atingida
taxa_rejeicao_pct,2026-04,56.23,55.00,1.23,menor_melhor,nao_atingida
taxa_rejeicao_pct,2026-05,55.49,55.00,0.49,menor_melhor,nao_atingida
taxa_rejeicao_pct,2026-06,54.79,55.00,-0.21,menor_melhor,atingida
seo_tecnico_score,2026-01,74.00,85.00,-11.00,maior_melhor,nao_atingida
seo_tecnico_score,2026-02,75.00,85.00,-10.00,maior_melhor,nao_atingida
seo_tecnico_score,2026-03,75.00,85.00,-10.00,maior_melhor,nao_atingida
seo_tecnico_score,2026-04,76.00,85.00,-9.00,maior_melhor,nao_atingida
seo_tecnico_score,2026-05,76.00,85.00,-9.00,maior_melhor,nao_atingida
seo_tecnico_score,2026-06,77.00,85.00,-8.00,maior_melhor,nao_atingida
share_citacao_ia_pct,2026-01,40.00,35.00,5.00,maior_melhor,atingida
share_citacao_ia_pct,2026-02,40.00,35.00,5.00,maior_melhor,atingida
share_citacao_ia_pct,2026-03,40.00,35.00,5.00,maior_melhor,atingida
share_citacao_ia_pct,2026-04,40.00,35.00,5.00,maior_melhor,atingida
share_citacao_ia_pct,2026-05,40.00,35.00,5.00,maior_melhor,atingida
share_citacao_ia_pct,2026-06,40.00,35.00,5.00,maior_melhor,atingida
