ano_mes,editoria,usuarios,sessoes,pageviews,assinaturas_atribuidas,mix_usuarios_pct,mix_sessoes_pct,mix_pageviews_pct,mix_assinaturas_pct
2026-01,politica,51040,62268,92156,30,25.3083,25.9313,24.7691,24.3902
2026-01,economia,41690,49194,74774,27,20.6721,20.4867,20.0973,21.9512
2026-01,tecnologia,36657,46554,72624,30,18.1765,19.3872,19.5194,24.3902
2026-01,esportes,46858,53886,86217,19,23.2346,22.4406,23.1729,15.4472
2026-01,cultura,25428,28225,46289,17,12.6085,11.7542,12.4413,13.8211
2026-02,politica,55680,67929,100534,34,25.3083,25.9314,24.7691,24.6377
2026-02,economia,45480,53666,81572,30,20.6721,20.4866,20.0973,21.7391
2026-02,tecnologia,39989,50786,79226,33,18.1762,19.3872,19.5193,23.9130
2026-02,esportes,51118,58785,94056,22,23.2347,22.4407,23.1731,15.9420
2026-02,cultura,27740,30791,50497,19,12.6087,11.7542,12.4412,13.7681
2026-03,politica,60320,73590,108913,38,25.3083,25.9315,24.7694,24.6753
2026-03,economia,49271,58139,88371,34,20.6725,20.4869,20.0977,22.0779
2026-03,tecnologia,43322,55018,85828,37,18.1765,19.3871,19.5194,24.0260
2026-03,esportes,55377,63683,101892,24,23.2344,22.4405,23.1727,15.5844
2026-03,cultura,30051,33356,54703,21,12.6084,11.7539,12.4408,13.6364
2026-04,politica,63800,77836,115197,41,25.3083,25.9316,24.7695,24.6988
2026-04,economia,52113,61493,93469,36,20.6723,20.4868,20.0976,21.6867
2026-04,tecnologia,45821,58192,90779,40,18.1764,19.3871,19.5192,24.0964
2026-04,esportes,58572,67357,107771,26,23.2345,22.4404,23.1728,15.6627
2026-04,cultura,31785,35281,57860,23,12.6085,11.7541,12.4410,13.8554
2026-05,politica,59740,72882,107865,40,25.3083,25.9314,24.7693,24.6914
2026-05,economia,48797,57580,87521,35,20.6724,20.4869,20.0977,21.6049
2026-05,tecnologia,42905,54489,85002,38,18.1763,19.3872,19.5192,23.4568
2026-05,esportes,54845,63071,100913,26,23.2346,22.4406,23.1729,16.0494
2026-05,cultura,29762,33035,54177,23,12.6084,11.7538,12.4408,14.1975
2026-06,politica,67280,82081,121479,45,25.3083,25.9313,24.7691,24.5902
2026-06,economia,54956,64848,98568,40,20.6724,20.4870,20.0977,21.8579
2026-06,tecnologia,48320,61366,95730,43,18.1762,19.3869,19.5190,23.4973
2026-06,esportes,61767,71032,113651,29,23.2345,22.4406,23.1730,15.8470
2026-06,cultura,33519,37206,61017,26,12.6086,11.7542,12.4412,14.2077
