ano_mes,dominio,testes,total_testes,share_citacao_pct
2026-01,portal_proprio,4,10,40.00
2026-01,concorrente_alpha,2,10,20.00
2026-01,concorrente_beta,2,10,20.00
2026-01,nenhum,2,10,20.00
2026-02,portal_proprio,4,10,40.00
2026-02,concorrente_alpha,2,10,20.00
2026-02,concorrente_beta,2,10,20.00
2026-02,nenhum,2,10,20.00
2026-03,portal_proprio,4,10,40.00
2026-03,concorrente_alpha,2,10,20.00
2026-03,concorrente_beta,2,10,20.00
2026-03,nenhum,2,10,20.00
2026-04,portal_proprio,4,10,40.00
2026-04,concorrente_alpha,2,10,20.00
2026-04,concorrente_beta,2,10,20.00
2026-04,nenhum,2,10,20.00
2026-05,portal_proprio,4,10,40.00
2026-05,concorrente_alpha,2,10,20.00
2026-05,concorrente_beta,2,10,20.00
2026-05,nenhum,2,10,20.00
2026-06,portal_proprio,4,10,40.00
2026-06,concorrente_alpha,2,10,20.00
2026-06,concorrente_beta,2,10,20.00
2026-06,nenhum,2,10,20.00
