ano_mes,editoria,usuarios,sessoes,pageviews,tempo_medio_seg,taxa_rejeicao_pct,assinaturas_atribuidas
2026-01,politica,51040,62268,92156,179,60.50,30
2026-01,economia,41690,49194,74774,196,56.90,27
2026-01,tecnologia,36657,46554,72624,222,52.00,30
2026-01,esportes,46858,53886,86217,148,63.80,19
2026-01,cultura,25428,28225,46289,204,55.70,17
2026-02,politica,55680,67929,100534,182,59.80,34
2026-02,economia,45480,53666,81572,199,56.20,30
2026-02,tecnologia,39989,50786,79226,225,51.30,33
2026-02,esportes,51118,58785,94056,151,63.10,22
2026-02,cultura,27740,30791,50497,207,55.00,19
2026-03,politica,60320,73590,108913,185,59.10,38
2026-03,economia,49271,58139,88371,202,55.50,34
2026-03,tecnologia,43322,55018,85828,228,50.60,37
2026-03,esportes,55377,63683,101892,154,62.40,24
2026-03,cultura,30051,33356,54703,210,54.30,21
2026-04,politica,63800,77836,115197,188,58.40,41
2026-04,economia,52113,61493,93469,205,54.90,36
2026-04,tecnologia,45821,58192,90779,231,49.90,40
2026-04,esportes,58572,67357,107771,157,61.80,26
2026-04,cultura,31785,35281,57860,213,53.60,23
2026-05,politica,59740,72882,107865,191,57.70,40
2026-05,economia,48797,57580,87521,208,54.10,35
2026-05,tecnologia,42905,54489,85002,234,49.20,38
2026-05,esportes,54845,63071,100913,160,61.00,26
2026-05,cultura,29762,33035,54177,216,52.90,23
2026-06,politica,67280,82081,121479,194,57.00,45
2026-06,economia,54956,64848,98568,211,53.40,40
2026-06,tecnologia,48320,61366,95730,237,48.50,43
2026-06,esportes,61767,71032,113651,163,60.30,29
2026-06,cultura,33519,37206,61017,219,52.20,26
