data_coleta,ano_mes,site,tipo,performance_score,seo_tecnico_score,dados_estruturados_pct,tempo_carregamento_seg,mobile_score,paginas_amostradas,fonte_coleta
2026-01-28,2026-01,portal_proprio,proprio,73,74,60,2.82,83,50,auditoria_sintetica_publica
2026-01-28,2026-01,concorrente_alpha,concorrente,82,84,78,2.12,92,50,auditoria_sintetica_publica
2026-01-28,2026-01,concorrente_beta,concorrente,68,79,71,3.32,89,50,auditoria_sintetica_publica
2026-02-28,2026-02,portal_proprio,proprio,74,75,62,2.74,84,50,auditoria_sintetica_publica
2026-02-28,2026-02,concorrente_alpha,concorrente,83,85,80,2.04,93,50,auditoria_sintetica_publica
2026-02-28,2026-02,concorrente_beta,concorrente,69,80,73,3.24,90,50,auditoria_sintetica_publica
2026-03-28,2026-03,portal_proprio,proprio,75,75,64,2.66,85,50,auditoria_sintetica_publica
2026-03-28,2026-03,concorrente_alpha,concorrente,84,85,82,1.96,94,50,auditoria_sintetica_publica
2026-03-28,2026-03,concorrente_beta,concorrente,70,80,75,3.16,91,50,auditoria_sintetica_publica
2026-04-28,2026-04,portal_proprio,proprio,76,76,66,2.58,86,50,auditoria_sintetica_publica
2026-04-28,2026-04,concorrente_alpha,concorrente,85,86,84,1.88,95,50,auditoria_sintetica_publica
2026-04-28,2026-04,concorrente_beta,concorrente,71,81,77,3.08,92,50,auditoria_sintetica_publica
2026-05-28,2026-05,portal_proprio,proprio,77,76,68,2.50,87,50,auditoria_sintetica_publica
2026-05-28,2026-05,concorrente_alpha,concorrente,86,86,86,1.80,96,50,auditoria_sintetica_publica
2026-05-28,2026-05,concorrente_beta,concorrente,72,81,79,3.00,93,50,auditoria_sintetica_publica
2026-06-28,2026-06,portal_proprio,proprio,78,77,70,2.42,88,50,auditoria_sintetica_publica
2026-06-28,2026-06,concorrente_alpha,concorrente,87,87,88,1.72,97,50,auditoria_sintetica_publica
2026-06-28,2026-06,concorrente_beta,concorrente,73,82,81,2.92,94,50,auditoria_sintetica_publica
