ano_mes,consulta,editoria,impressoes,cliques,ctr_pct,posicao_media,pagina_id
2026-01,eleicoes municipais,politica,21750,520,2.39,12.47,ART001
2026-01,taxa de juros,economia,23200,513,2.21,12.79,ART002
2026-01,inteligencia artificial,tecnologia,24650,502,2.04,13.11,ART003
2026-01,campeonato nacional,esportes,26100,486,1.86,13.43,ART004
2026-01,agenda cultural,cultura,27550,464,1.68,13.75,ART005
2026-01,explicador do dia,economia,29000,438,1.51,14.07,ART006
2026-02,eleicoes municipais,politica,24050,661,2.75,11.82,ART005
2026-02,taxa de juros,economia,25500,656,2.57,12.14,ART006
2026-02,inteligencia artificial,tecnologia,26950,645,2.39,12.46,ART007
2026-02,campeonato nacional,esportes,28400,630,2.22,12.78,ART008
2026-02,agenda cultural,cultura,29850,610,2.04,13.10,ART009
2026-02,explicador do dia,economia,31300,584,1.87,13.42,ART010
2026-03,eleicoes municipais,politica,26350,818,3.10,11.17,ART009
2026-03,taxa de juros,economia,27800,814,2.93,11.49,ART010
2026-03,inteligencia artificial,tecnologia,29250,805,2.75,11.81,ART011
2026-03,campeonato nacional,esportes,30700,791,2.58,12.13,ART012
2026-03,agenda cultural,cultura,32150,772,2.40,12.45,ART013
2026-03,explicador do dia,economia,33600,748,2.23,12.77,ART014
2026-04,eleicoes municipais,politica,28650,992,3.46,10.52,ART013
2026-04,taxa de juros,economia,30100,989,3.29,10.84,ART014
2026-04,inteligencia artificial,tecnologia,31550,981,3.11,11.16,ART015
2026-04,campeonato nacional,esportes,33000,968,2.93,11.48,ART016
2026-04,agenda cultural,cultura,34450,950,2.76,11.80,ART017
2026-04,explicador do dia,economia,35900,927,2.58,12.12,ART018
2026-05,eleicoes municipais,politica,30950,1182,3.82,9.87,ART017
2026-05,taxa de juros,economia,32400,1181,3.65,10.19,ART018
2026-05,inteligencia artificial,tecnologia,33850,1174,3.47,10.51,ART019
2026-05,campeonato nacional,esportes,35300,1162,3.29,10.83,ART020
2026-05,agenda cultural,cultura,36750,1145,3.12,11.15,ART021
2026-05,explicador do dia,economia,38200,1123,2.94,11.47,ART022
2026-06,eleicoes municipais,politica,33250,1389,4.18,9.22,ART021
2026-06,taxa de juros,economia,34700,1389,4.00,9.54,ART022
2026-06,inteligencia artificial,tecnologia,36150,1383,3.83,9.86,ART023
2026-06,campeonato nacional,esportes,37600,1372,3.65,10.18,ART024
2026-06,agenda cultural,cultura,39050,1356,3.47,10.50,ART025
2026-06,explicador do dia,economia,40500,1336,3.30,10.82,ART026
