ano_mes,kpi,valor,unidade
2025-01,sessoes,41200,qtd
jan/25,leads,980,qtd
2025/01,conversao,2,4,pct
2025-01,receita,"1.250.000",BRL
2025-02,sessoes,38810,qtd
2025-02,leads,1102,qtd
2025-02,conversao,2.8,pct
2025-02,receita,1380000,BRL
2025-03,sessoes,45100,qtd
2025-03,leads,n/a,qtd
2025-03,conversao,-1,pct
2025-03,receita,990000,BRL
2025-04,sessoes,47050,qtd
2025-04,leads,1250,qtd
2025-04,conversao,2.65,pct
2025-04,receita,1512000,BRL
2025-05,sessoes,50110,qtd
2025-05,leads,1410,qtd
2025-05,conversao,2.81,pct
2025-05,receita,1644000,BRL
2025-06,sessoes,48900,qtd
2025-06,leads,1305,qtd
2025-06,conversao,2.67,pct
2025-06,receita,1590000,BRL
2025-01,sessoes,41200,qtd
2025-07,sessoes,52340,qtd
2025-07,leads,1502,qtd
2025-07,conversao,2.87,pct
2025-07,receita,1725000,BRL
