ano_mes,centro_custo,conta,previsto
2025-01,TI,software,80000
2025-01,RH,recrutamento,45000
2025-01,Marketing,midia,60000
2025-01,Operacoes,logistica,120000
2025-02,TI,software,80000
2025-02,RH,recrutamento,45000
2025-02,Marketing,midia,60000
2025-02,Operacoes,logistica,120000
2025-03,TI,software,80000
2025-03,RH,recrutamento,45000
2025-03,Marketing,midia,60000
2025-03,Operacoes,logistica,120000
abr/25,TI,software,80000
2025/04,RH,recrutamento,45000
2025-04,Marketing,midia,60000
2025-04,Operacoes,logistica,120000
2025-05,TI,software,80000
2025-05,RH,recrutamento,45000
2025-05,Marketing,midia,70000
2025-05,Operacoes,logistica,120000
2025-06,T.I.,software,80000
2025-06,RH,recrutamento,45000
2025-06,Marketing,midia,60000
2025-06,Operacoes,logistica,120000
2025-01,TI,software,80000
