evento_id,cliente_id,data,tipo,detalhe
E001,C001,2025-05-02,login,ok
E002,C001,2025-06-18,login,ok
E003,C002,2025-05-10,ticket,cobranca duplicada
E004,C002,2025-06-01,ticket,cobranca duplicada
E005,C002,2025-06-20,downgrade,pro para basic
E006,C003,2025-04-22,ticket,nao usa mais o modulo
E007,C004,2025-05-15,login,ok
E008,C004,2025-07-02,login,ok
E009,C005,03/05/2025,cancelamento_solicitado,pedido no chat
E010,C006,2025/05/30,ticket,renovacao inercia
E011,C007,2025-06-11,login,ultimo login conhecido
E012,C008,2025-06-08,login,ok
E013,C008,2025-07-01,ticket,duvida de relatorio
E014,C009,2025-06-25,downgrade,basic para free
E015,C010,2025-03-01,ticket,ameaca de cancelar
E016,,2025-06-40,login,data invalida
E017,C099,2025-06-12,ticket,cliente inexistente
E018,C012,2025-07-10,login,ok
E003,C002,2025-05-10,ticket,cobranca duplicada
